subj,item,resp,RT,type,time,acc
1501,3,fish,2.295,study,3.131,1
1501,3,fish,0.888,test,5.426,1
1501,12,book,3.128,study,10.248,1
1501,12,book,0.841,test,12.776,1
1501,2,beer,4.203,study,18.824,1
1501,9,police,2.456,study,23.813,1
1501,2,beer,0.968,test,26.327,1
1501,9,police,1.182,test,29.194,1
1501,22,fruit,2.544,study,33.976,1
1501,5,office,2.128,study,38.572,1
1501,22,fruit,1.383,test,42.459,1
1501,5,office,1.082,test,45.417,1
1501,3,fish,1.634,test,48.472,1
1501,14,voice,2.391,study,52.398,1
1501,12,office,2.372,test,56.508,0
1501,14,voice,3.493,test,64.825,1
1501,23,pain,2.084,study,69.167,1
1501,8,music,1.842,study,72.906,1
1501,23,pain,1.735,test,76.501,1
1501,8,voice,7.976,test,85.811,0
1501,9,book,2.497,test,93.52,0
1501,2,fruit,1.489,test,100.311,0
1501,22,fruit,1.693,test,106.78,1
1501,5,book,2.66,test,110.995,0
1501,12,book,5.512,test,121.194,1
1501,14,voice,1.57,test,124.109,1
1501,23,pain,1.298,test,126.587,1
1501,8,music,4.785,test,132.93,1
1501,9,police,1.78,test,136.341,1
1501,2,beer,1.661,test,139.75,1
1501,12,book,3.879,test,144.923,1
1501,5,fish,7.4,test,154.251,0
1501,10,cloud,1.919,study,161.306,1
1501,12,office,1.748,test,164.451,0
1501,10,cloud,1.703,test,171.875,1
1501,8,music,2.071,test,175.382,1
1501,5,office,3.118,test,180.417,1
1501,18,friend,2.575,study,184.789,1
1501,11,chicken,2.329,study,189.069,1
1501,18,friend,0.979,test,191.448,1
1501,11,chicken,0.873,test,193.851,1
1501,25,language,2.043,study,198.138,1
1501,5,office,3.469,test,203.16,1
1501,25,language,2.192,test,208.431,1
1501,12,office,3.271,test,215.02,0
1501,10,cloud,1.149,test,220.909,1
1501,5,office,1.505,test,224.44,1
1501,15,thanks,3.596,study,229.777,1
1501,20,bike,2.745,study,233.742,1
1501,15,thank you,1.568,test,237.432,0
1501,20,bike,1.885,test,244.117,1
1501,11,chicken,6.159,test,251.933,1
1501,18,friend,0.869,test,254.201,1
1501,25,language,0.763,test,257.236,1
1501,8,music,3.328,test,261.971,1
1501,5,fish,5.493,test,269.497,0
1501,12,book,1.66,test,276.167,1
1501,7,eye,2.055,study,280.127,1
1501,16,work,1.148,study,282.572,1
1501,7,eye,1.47,test,285.525,1
1501,16,work,0.951,test,287.637,1
1501,15,thanks,2.568,test,291.662,1
1501,11,chicken,0.988,test,294.262,1
1501,20,bike,3.386,test,298.849,1
1501,8,music,1.694,test,301.852,1
1501,5,office,3.947,test,307.189,1
1501,3,fish,6.637,test,315.056,1
1501,5,office,1.483,test,318.289,1
1501,19,wheel,1.761,study,321.524,1
1501,13,song,1.417,study,324.037,1
1501,19,song,7.119,test,334.38,0
1501,13,song,1.973,test,340.855,1
1501,7,police,10.04,test,352.736,0
1501,16,police,5.298,test,363.006,0
1501,5,office,4.011,test,371.867,1
1501,20,bike,1.173,test,374.165,1
1501,12,book,1.778,test,377.614,1
1501,5,office,1.169,test,380.459,1
1501,15,thanks,1.662,test,383.458,1
1501,19,wheel,0.936,test,385.761,1
1501,8,music,1.018,test,388.174,1
1501,7,eye,1.353,test,390.612,1
1501,9,police,6.321,test,398.621,1
1501,5,office,2.343,test,402.574,1
1501,16,work,2.035,test,405.83,1
1501,13,cloud,8.487,test,416.344,0
1501,2,beer,1.317,test,422.467,1
1501,5,office,1.032,test,424.971,1
1501,3,fish,1.306,test,427.584,1
1501,22,cloud,9.569,test,440.526,0
1501,12,office,1.753,test,447.376,0
1501,13,song,1.373,test,453.375,1
1501,9,police,2.301,test,457.275,1
1501,23,wheel,4.337,test,469.922,0
1501,12,book,3.838,test,478.941,1
1501,14,voice,1.676,test,481.894,1
1501,4,pants,2.827,study,486.365,1
1501,21,color,1.614,study,490.03,1
1501,4,pants,1.054,test,492.338,1
1501,21,color,5.174,test,498.773,1
1501,12,book,1.698,test,501.787,1
1501,5,office,1.854,test,505.019,1
1501,6,monkey,1.73,study,508.288,1
1501,24,shop,1.416,study,510.962,1
1501,6,monkey,1.423,test,514,1
1501,24,shop,0.902,test,516.299,1
1501,11,chicken,1.298,test,520.555,1
1501,1,enemy,2.003,study,524.206,1
1501,22,fruit,2.343,test,527.98,1
1501,1,enemy,1.259,test,532.236,1
1501,10,song,2.03,test,535.456,0
1501,21,shop,3.197,test,545.521,0
1501,4,pants,2.028,test,552.409,1
1501,23,pain,0.965,test,554.452,1
1501,6,shop,5.31,test,561.011,0
1501,24,shop,1.266,test,567.562,1
1501,25,language,1.871,test,571.591,1
1501,18,friend,1.087,test,574.721,1
1501,1,enemy,1.414,test,577.724,1
1501,17,holidays,1.915,study,581.915,1
1501,21,color,5.18,test,588.676,1
1501,17,holidays,1.482,test,592.255,1
1501,15,thanks,1.235,test,594.739,1
1501,9,police,3.776,test,600.736,1
1501,6,monkey,4.823,test,607.971,1
1501,12,book,5.107,test,614.345,1
1501,21,color,1.625,test,617.765,1
1501,20,bike,1.239,test,620.71,1
1501,7,eye,1.168,test,622.959,1
1501,12,book,2.084,test,626.287,1
1501,16,work,6.539,test,633.953,1
1501,6,monkey,2.863,test,638.41,1
1501,10,song,5.238,test,649.14,0
1501,17,holidays,2.858,test,657.086,1
1501,6,monkey,2.567,test,661.292,1
1501,12,book,2.512,test,665.153,1
1501,5,office,3.168,test,669.683,1
